Type,Ending,Year,EUR,PKR,CNY,INR,HKD,ZAR,IDR,KRW,MYR,PHP,TWD,THB,VND,SAR,ARS,HUF,KWD,MXN,PLN,BRL,QAR,RUB,CLP,TRY,,,,,,,,,,,
PL,June,2016,1.109783607,0.009545661,0.152205519,0.014936607,0.128845164,0.067714049,7.48796E-05,0.000863411,0.242744262,0.021223385,0.030904093,0.028310369,4.4754E-05,0.266598634,0.07270765,0.003559754,3.310018306,0.055186311,0.25570929,0.283160929,0.274620492,0.014835246,0.146724809,0.339668115,,,,,,,,,,,
PL,June,2017,1.112120822,0.009522193,0.147165096,0.015250507,0.128458192,0.074862408,7.48518E-05,0.000874684,0.230144658,0.019899981,0.032575518,0.029122584,4.40545E-05,0.266625753,0.061628219,0.00360011,3.291171233,0.052505178,0.259528493,0.312261096,0.273318356,0.016977836,0.153020082,0.279622219,,,,,,,,,,,
PL,June,2018,1.187564932,0.008571265,0.152398384,0.014864737,0.127630767,0.076511068,7.10966E-05,0.000913513,0.248480548,0.019120038,0.03332309,0.030966822,4.36171E-05,0.266620548,0.042690137,0.003745534,3.313243562,0.052520822,0.279696986,0.282229863,0.272443836,0.016311562,0.157757534,0.223820822,,,,,,,,,,,
PL,June,2019,1.123735068,0.006823973,0.14511389,0.014216452,0.127606,0.069549759,7.03399E-05,0.000863857,0.241232877,0.019208014,0.03229477,0.031825255,4.3026E-05,0.26658137,0.022889041,0.00347211,3.289974521,0.051589671,0.261450137,0.256630685,0.273410959,0.01532674,0.145298877,0.178671425,,,,,,,,,,,
PL,June,2020,1.127121311,0.006210487,0.143544973,0.013565175,0.128776885,0.061471995,6.87931E-05,0.000840848,0.237452459,0.020004087,0.033603456,0.031969142,4.303E-05,0.266460383,0.014979781,0.00324877,3.262179781,0.047217295,0.255492896,0.203355191,0.272495355,0.014269481,0.125746585,0.150264126,,,,,,,,,,,
PL,June,2021,1.20607377,0.006252079,0.15255918,0.013551705,0.128992295,0.066354295,7.07954E-05,0.000908889,0.245732787,0.020775918,0.03532077,0.03316082,4.32238E-05,0.266568852,0.01222459,0.003356885,3.278434426,0.049864918,0.268929508,0.190642623,0.270968852,0.013348361,0.135106557,0.129492131,,,,,,,,,,,
PL,September,2014,1.347121918,0.009823135,0.162636521,0.016400227,0.128957753,0.093599479,8.48876E-05,0.000955536,0.308320274,0.022593951,0.033224526,0.030903173,4.72893E-05,0.26659589,0.13021726,0.004388055,3.529172603,0.076130712,0.322378356,0.433074247,0.274630959,0.028168575,0.179283808,0.464619479,,,,,,,,,,,
PL,September,2015,1.133849863,0.00978637,0.160157616,0.01574971,0.12898011,0.081843419,7.60681E-05,0.000891652,0.266482192,0.022153499,0.031746301,0.029639099,4.60286E-05,0.266563562,0.111818356,0.003666795,3.343000548,0.064882356,0.27151863,0.32340274,0.274628767,0.017198055,0.156882082,0.383570164,,,,,,,,,,,
PL,September,2016,1.109783607,0.009545661,0.152205519,0.014936607,0.128845164,0.067714049,7.48796E-05,0.000863411,0.242744262,0.021223385,0.030904093,0.028310369,4.4754E-05,0.266598634,0.07270765,0.003559754,3.310018306,0.055186311,0.25570929,0.283160929,0.274620492,0.014835246,0.146724809,0.339668115,,,,,,,,,,,
PL,September,2017,1.112120822,0.009522193,0.147165096,0.015250507,0.128458192,0.074862408,7.48518E-05,0.000874684,0.230144658,0.019899981,0.032575518,0.029122584,4.40545E-05,0.266625753,0.061628219,0.00360011,3.291171233,0.052505178,0.259528493,0.312261096,0.273318356,0.016977836,0.153020082,0.279622219,,,,,,,,,,,
PL,September,2018,1.187564932,0.008571265,0.152398384,0.014864737,0.127630767,0.076511068,7.10966E-05,0.000913513,0.248480548,0.019120038,0.03332309,0.030966822,4.36171E-05,0.266620548,0.042690137,0.003745534,3.313243562,0.052520822,0.279696986,0.282229863,0.272443836,0.016311562,0.157757534,0.223820822,,,,,,,,,,,
