code,c_1,c_2,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_13,c_14,c_15,c_16,c_17,c_18
Code,Apparel & Footwear,Auto,Banks,Beverages,Cement,Dairy,Education,Health Care Supplies,Integrated Oil,Internet & Allied,NBFC,Pharmaceuticals & Biotech,Retail,Semiconductors,Software & IT,Steel
S.2.3,1,1,1,1,10,10,1,1,10,1,1,1,1,10,1,10
S.2.4,1,1,1,1,10,10,1,1,10,1,1,1,1,10,1,10
S.2.5,1,1,1,1,10,10,1,1,10,1,1,1,1,10,1,10
S.2.6,1,1,1,1,10,10,1,1,10,1,1,1,1,10,1,10
S.3.1,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1
S.3.2,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1
S.3.3,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1
S.3.4,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1
S.3.5,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1
S.3.6,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1
S.3.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S.4.1,1,10,0,10,1,10,1,1,1,1,1,1,1,1,1,1
S.4.2,1,10,0,10,1,10,1,1,1,1,1,1,1,1,1,1
S.4.3,1,10,0,10,1,10,1,1,1,1,1,1,1,1,1,1
S.4.4,1,10,0,10,1,10,1,1,1,1,1,1,1,1,1,1
S.5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.5.2,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
S.5.3,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0
S.5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S.6.1,10,10,0,10,1,10,1,10,1,1,1,10,1,1,1,1
S.6.2,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0
S.7.1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
S.7.2,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,1
S.7.3,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,1
S.7.4,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,1
S.7.5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1
S.7.6,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,1
S.7.7,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,1
S.7.8,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,1
S.7.9,1,10,10,10,1,10,10,10,1,10,10,10,10,10,10,1
S.7.10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
S.7.11,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,1
S.7.12,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,1
S.8.1,1,0,1,1,0,10,10,1,0,0,0,1,0,0,0,0
S.8.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S.8.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S.8.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
S.9.1,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1
S.9.2,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1
S.9.3,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1
S.9.4,1,1,1,1,1,1,1,1,10,1,1,10,1,1,1,1
G.1.1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.1.2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.1.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.2.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.2.2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.2.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.2.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.3.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.3.2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.3.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
G.4.1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.4.2,1,1,10,1,1,1,1,1,1,1,10,1,1,10,10,1
G.4.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.4.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.4.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.4.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.4.9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.5.1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.5.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.5.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.5.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.5.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.5.6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.5.7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.5.8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.5.9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
G.5.10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.5.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G.6.1,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
G.6.2,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
G.6.3,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
G.6.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
